# 070712 hashmap of PDBv2 naming to PDBv3 naming scheme 
 O5' 101, O5* 101
 C5' 101, C5* 101
 C4' 101, C4* 101
 O4' 101, O4* 101
 C3' 101, C3* 101
 O3' 101, O3* 101
 C2' 101, C2* 101
 C1' 101, C1* 101
 O5' 102, O5* 102
 C5' 102, C5* 102
 C4' 102, C4* 102
 O4' 102, O4* 102
 C3' 102, C3* 102
 O3' 102, O3* 102
 C2' 102, C2* 102
 O2' 102, O2* 102
 C1' 102, C1* 102
 C5' 103, C5* 103
 C4' 103, C4* 103
 O4' 103, O4* 103
 C3' 103, C3* 103
 O3' 103, O3* 103
 C2' 103, C2* 103
 C1' 103, C1* 103
 O5' 10C, O5* 10C
 C5' 10C, C5* 10C
 C4' 10C, C4* 10C
 O4' 10C, O4* 10C
 C1' 10C, C1* 10C
 C3' 10C, C3* 10C
 C2' 10C, C2* 10C
 O2' 10C, O2* 10C
 O3' 10C, O3* 10C
 C6' 10C, C6* 10C
 O5' 112, O5* 112
 C5' 112, C5* 112
 C4' 112, C4* 112
 O4' 112, O4* 112
 C3' 112, C3* 112
 O3' 112, O3* 112
 C2' 112, C2* 112
 O2' 112, O2* 112
 C1' 112, C1* 112
 OP1 125, O1P 125
 OP2 125, O2P 125
 OP3 125, O3P 125
 O5' 125, O5* 125
 C5' 125, C5* 125
 C4' 125, C4* 125
 O4' 125, O4* 125
 C3' 125, C3* 125
 O3' 125, O3* 125
 C2' 125, C2* 125
 O2' 125, O2* 125
 C1' 125, C1* 125
 CA' 125, CA* 125
 CB' 125, CB* 125
 FC' 125, FC* 125
 OP1 126, O1P 126
 OP2 126, O2P 126
 OP3 126, O3P 126
 O5' 126, O5* 126
 C5' 126, C5* 126
 C4' 126, C4* 126
 O4' 126, O4* 126
 C3' 126, C3* 126
 O3' 126, O3* 126
 C2' 126, C2* 126
 O2' 126, O2* 126
 C1' 126, C1* 126
 CA' 126, CA* 126
 CB' 126, CB* 126
 OC' 126, OC* 126
 CD' 126, CD* 126
 CE' 126, CE* 126
 OF' 126, OF* 126
 CG' 126, CG* 126
 CH' 126, CH* 126
 OI' 126, OI* 126
 CK' 126, CK* 126
 OP1 127, O1P 127
 OP2 127, O2P 127
 OP3 127, O3P 127
 O5' 127, O5* 127
 C5' 127, C5* 127
 C4' 127, C4* 127
 O4' 127, O4* 127
 C3' 127, C3* 127
 O3' 127, O3* 127
 C2' 127, C2* 127
 O2' 127, O2* 127
 C1' 127, C1* 127
 CA' 127, CA* 127
 CB' 127, CB* 127
 OC' 127, OC* 127
 ND' 127, ND* 127
 O5' 128, O5* 128
 C5' 128, C5* 128
 C4' 128, C4* 128
 O4' 128, O4* 128
 C3' 128, C3* 128
 O3' 128, O3* 128
 C2' 128, C2* 128
 O2' 128, O2* 128
 C1' 128, C1* 128
 OP3 12A, O3P 12A
 OP1 12A, O1P 12A
 OP2 12A, O2P 12A
 O5' 12A, O5* 12A
 C5' 12A, C5* 12A
 C4' 12A, C4* 12A
 O4' 12A, O4* 12A
 C3' 12A, C3* 12A
 O3' 12A, O3* 12A
 C2' 12A, C2* 12A
 O2' 12A, O2* 12A
 C1' 12A, C1* 12A
 C1B 130, C1* 130
 C2B 130, C2* 130
