#pdbId,resol,eff.resol
2b97,0.75,2.47775804278545
1x6z,0.78,1.72619201887622
1gci,0.78,1.60470700250943
1iua,0.8,1.95505980712091
1w0n,0.8,2.58230210812060
1pq7,0.8,1.87674968584905
1fy5,0.81,2.17792051024026
1fy4,0.81,2.06826106497400
1fn8,0.81,2.22123514561971
1gdn,0.81,2.19043563759426
1nwz,0.82,2.20757071345597
1cbn,0.83,1.30597151015278
1ssx,0.83,1.95974050515875
1xvo,0.84,1.53022890832631
1mc2,0.85,2.01571550074296
3pyp,0.85,2.49694549461046
1x8q,0.85,1.99897432248105
1x8p,0.85,2.29489113846659
1pq5,0.85,1.69276358874396
2f01,0.85,2.53094430749475
1m40,0.85,2.26387057225229
1pjx,0.85,2.97697743459051
1g6x,0.86,2.96189885386071
1muw,0.86,2.09455791052969
1v6p,0.87,3.13275255728476
1dy5,0.87,1.95917797540382
1gwe,0.88,2.12811256781989
1jxx,0.89,0.900257907522002
1jxt,0.89,0.900257907522002
1jxw,0.89,0.900257907522002
1jxy,0.89,1.68541446170242
1ab1,0.89,1.85327265935559
1f9y,0.89,2.0618471436643
1ywa,0.89,2.09417861341258
1i1w,0.89,2.39782437267591
1byz,0.9,0.818604279931485
1et1,0.9,1.77393965232866
1n9b,0.9,1.98834306156398
2bw4,0.9,2.40309912259722
1ix9,0.9,2.08833235948615
1ixb,0.9,2.27321285526136
2pvb,0.91,1.81081288623009
1j0p,0.91,2.40412494702949
1rb9,0.92,2.30428862550616
2g6f,0.92,1.15808902570407
1vb0,0.92,2.44307944847824
1l9l,0.92,2.4683283304953
1iqz,0.92,1.57801011100019
1pwm,0.92,2.31849092968679
1n4w,0.92,2.22299077697261
1vbw,0.93,2.27738157073027
1ok0,0.93,1.65917918628991
1b0y,0.93,2.78439012178608
1gdq,0.93,2.01133242698427
1ea7,0.93,2.12868748321801
2fdn,0.94,2.12606203787780
1iee,0.94,2.30489428777448
1nls,0.94,2.35291787985404
2bt9,0.94,2.04647089718588
1kwf,0.94,1.58835850480262
1brf,0.95,1.40767880455377
1kth,0.95,2.96137295363779
1zzk,0.95,2.47313405281865
1ot6,0.95,2.98039477978069
4lzt,0.95,1.65656239686742
1hj9,0.95,1.95739329729303
1lug,0.95,2.69323423742544
1nki,0.95,1.8242745606075
1rtq,0.95,2.21086968625288
1mj5,0.95,2.11339576014894
7a3h,0.95,2.16714427697097
1z8a,0.95,2.26769008985757
1bxo,0.95,2.27401812088292
1s5n,0.95,2.06532015326560
1n1p,0.95,2.36863288079466
1n4u,0.95,2.33844171350605
1mxt,0.95,2.19150677808639
1aho,0.96,1.92883718881138
1u2h,0.96,2.19584345889335
1x6x,0.96,1.27949899657380
1ufy,0.96,1.44235903378092
1luq,0.96,2.43866275298186
1k5c,0.96,2.06994132028411
1f94,0.97,2.13546478720572
1tg0,0.97,2.2512337453545
1c75,0.97,1.73724102641670
1xmk,0.97,2.60784966862789
1m1q,0.97,2.44420539318982
1g4i,0.97,2.14669699376434
1vl9,0.97,2.65439352372814
1ywb,0.97,2.0250524517831
2ayw,0.97,2.25424279042341
1byi,0.97,2.34550062373363
8a3h,0.97,2.23440925466851
2bf6,0.97,2.19403877595477
1xg0,0.97,1.83521874209824
1tqg,0.98,2.81303379336132
1unq,0.98,2.11169805339793
2g58,0.98,3.58317227052762
2bzz,0.98,2.3853551098001
1gqv,0.98,2.44599227565937
1k4i,0.98,2.25515585237499
1ylj,0.98,2.33635474861876
1ic6,0.98,2.41663603891439
1v0l,0.98,1.66353682173042
1ixh,0.98,1.82291290523228
1gvt,0.98,1.62836001670421
1s5m,0.98,1.89372216625712
1jxu,0.99,0.900257907522002
1mwq,0.99,2.08826667818622
1sfd,0.99,1.68890133100916
2fou,0.99,2.10712189623881
1mnz,0.99,1.80553980163832
1ug6,0.99,1.88716390778781
1p1x,0.99,1.76721250796041
1w3m,1,3.34830157659440
8rxn,1,2.02064626997897
1k6u,1,2.56524165736609
5pti,1,2.44096614081171
1oai,1,2.1294498846778
1ir0,1,2.30616260296352
1mso,1,2.30181205284384
1lkk,1,2.70823899859976
2chh,1,1.88172102634196
1g2y,1,2.39604013266660
1c7k,1,1.87274564839313
1k2a,1,2.80243346756526
1r2m,1,1.82160565051818
1exr,1,2.32610188509377
1a6m,1,2.28553688298195
1tt8,1,2.43818410596504
1eb6,1,1.89581259742580
1sy2,1,2.15808055902909
1sy3,1,2.162708452924
1ywc,1,1.99897432248105
1lni,1,2.22685838850571
1t2h,1,2.23760898976905
1cex,1,2.44762732348122
1k4p,1,2.60614878268384
1hj8,1,2.19600769933395
2a6z,1,1.96781809863825
1pq8,1,2.10172505885934
2cws,1,2.52452005035505
1y55,1,2.49354791632465
2gh7,1,2.51800162600396
1zk4,1,1.94775179610656
2agt,1,2.56273437378105
1gvw,1,1.38611970567609
1gvx,1,1.53968320576685
1kcc,1,2.35260593038614
2abb,1,2.35098837737763
1ga6,1,1.93061050292893
1mn8,1,3.01550366716345
1uzv,1,2.09033470937134
1n4v,1,2.28139295909249
1gkm,1,2.88005052735375
1q6z,1,2.05624103509874
1o7j,1,1.98395034452366
1sxx,1.01,1.99839764150626
1x8o,1.01,1.91978006967235
1sy1,1.01,2.02861790953735
1cc8,1.02,2.52223361902463
1i27,1.02,2.29552309399481
1m1r,1.02,2.42778353850766
1rw1,1.02,1.73335813573019
1cxq,1.02,1.42243031966073
1mfm,1.02,2.61175521262165
1s0q,1.02,1.9138234240083
1s0r,1.02,1.99752423255144
1p7w,1.02,2.6795837282384
1qtw,1.02,1.93998996882853
1y93,1.03,2.34545550374008
1nh0,1.03,2.03422684321599
1xqo,1.03,1.81172405373712
1v0k,1.03,1.91830877301195
1is9,1.03,2.39841180729595
1kqp,1.03,1.77799682850123
1i2t,1.04,1.71415778157500
1naz,1.04,2.04032883362615
1tjx,1.04,2.75074593674741
1uow,1.04,2.73929415815373
1qxy,1.04,2.26408389639264
2bog,1.04,2.18802340742219
2anx,1.04,2.21781476686062
2anv,1.04,2.02745984400591
1w3l,1.04,2.34245493759099
1z3n,1.04,2.13241022293539
1oe1,1.04,2.03400280539602
1d5t,1.04,2.47486659287149
1wui,1.04,2.57104223041704
1cnr,1.05,1.30282451233038
1sf3,1.05,2.35464498067977
1m9z,1.05,2.56387677888165
1lwb,1.05,1.56259475567258
1kf3,1.05,2.08481758982016
1euw,1.05,2.35509310503713
1r2q,1.05,2.61444626800647
1sxw,1.05,2.69085322583592
1kmv,1.05,2.3325971526181
1psr,1.05,2.76789962620165
1m2d,1.05,2.71021306559482
2c71,1.05,2.61763787785336
1rqw,1.05,2.11296259037978
1sfh,1.05,1.48157088975949
2fhl,1.05,2.49688920289653
1zjy,1.05,2.44906275795978
1moo,1.05,2.18676692368994
2axw,1.05,1.76156359152909
1od8,1.05,1.703513544797
